benchmark_run,source_seconds,diffusion_steps,n,mean_seconds,median_seconds,sample_std_seconds,min_seconds,max_seconds,p95_seconds,mean_rtf
paper_baseline,10.0,5,3,14.263283472003726,13.407420333009213,1.588589280671472,13.286138667011983,16.09629141598998,15.827404307691904,1.4268719174546411
paper_baseline,10.0,10,3,19.206365736332373,19.141346500007785,0.4762484873174519,18.765967333994922,19.71178337499441,19.65473968749575,1.9213685235469695
paper_baseline,10.0,25,3,28.3987873053314,28.762588749988936,1.2985179874775425,26.957170207999297,29.47660295800597,29.405201537204267,2.840961001390813
paper_baseline,10.0,50,3,45.42891744466033,45.377784374999464,0.3223435807158952,45.13519658400037,45.77377137498115,45.734172674982986,4.5446230294296255
paper_baseline,20.0,1,3,24.280116180331486,24.1092086659919,0.6306757249675364,23.75250808399869,24.978631791003863,24.891689478502666,1.2144684636694008
paper_baseline,20.0,5,3,27.453633972327225,27.935478500003228,2.320300988712734,24.930242417001864,29.495180999976583,29.339210749979248,1.3732048242637
paper_baseline,20.0,10,3,32.74841780566688,33.19840774999466,1.392292690223649,31.186781249998603,33.86006441700738,33.793898750306106,1.6380449073909216
paper_baseline,20.0,25,3,51.4124921666662,52.20880800001032,1.5784649898730163,49.59448829200119,52.43418020798708,52.41164298718941,2.57160426710173
paper_baseline,20.0,50,3,81.34083999999955,82.7448486659996,2.4826369025379575,78.47433670899773,82.8033346250013,82.79748602910112,4.068591939786563
paper_baseline,30.0,1,3,35.55933923633226,37.259250917006284,3.8671881530629655,31.13337033399148,38.28539645799901,38.18278190389974,1.185763027126171
paper_baseline,30.0,5,3,41.11639712466664,42.391107540999656,2.4853781375181643,38.252286540999194,42.70579729200108,42.67432831690094,1.3710688827775652
paper_baseline,30.0,10,3,53.062258722333354,53.009052832989255,6.553869186835093,46.53515445900848,59.642568875002326,58.979217270801016,1.7694160206570764
paper_baseline,30.0,25,3,80.74607711099573,82.71579229200142,3.736191140148919,76.43717216598452,83.08526687500125,83.04831941670128,2.6925616414680356
paper_baseline,30.0,50,3,128.47077451399915,129.67427470900293,2.894109711158103,125.16910562499834,130.5689432079962,130.47947635809686,4.2839911470941034
followup_high_steps,5.0,60,3,27.060572110989597,27.444335957989097,0.6996931442479735,26.252967458975036,27.484412916004658,27.480405220203103,5.42047252041534
followup_high_steps,5.0,70,3,31.378871124994475,30.563909208984114,1.6535519170244093,30.290988666005433,33.28171549999388,33.009934870892906,6.285466100164682
followup_high_steps,5.0,80,3,35.087086416324986,34.95407841599081,1.5551549995201006,33.602707207988715,36.704473624995444,36.52943410409498,7.028254501089807
followup_high_steps,5.0,90,3,38.60334808331876,37.77325466700131,1.501225781255706,37.70048449997557,40.33630508297938,40.080000041381574,7.73259288914588
followup_high_steps,5.0,100,3,41.348400486662285,41.470065417001024,0.32601830932647213,40.979045459011104,41.59609058397473,41.58348806727736,8.282451223936258
followup_high_steps,5.0,110,3,47.29192701367234,45.75380262499675,3.423420339121105,44.907350541005144,51.21462787501514,50.668545350013304,9.47299228426122
followup_high_steps,5.0,120,3,49.383921666662594,48.53634025002248,2.1842007987656373,47.75054504198488,51.864879707980435,51.53202576218464,9.892037361463574
followup_high_steps,10.0,60,3,41.26708369400391,41.25526270800037,0.22077662172763451,41.05245504100458,41.49353333300678,41.46970627050614,4.128281047894827
followup_high_steps,10.0,70,3,46.33152934700289,46.566775749990484,0.7366261355321729,45.5060132080107,46.9217990830075,46.8862967497058,4.634918617983331
followup_high_steps,10.0,80,3,52.38974920799956,52.37285658300971,0.5538469339839681,51.8445418329793,52.95184920800966,52.89394994550967,5.2409714813642845
followup_high_steps,10.0,90,3,57.35628245800035,57.46349145800923,0.9443247820578038,56.36292854099884,58.242427374992985,58.16453378329461,5.737814079735172
followup_high_steps,10.0,100,3,63.102983694329545,63.53459491598187,1.2824865711238451,61.6603710000054,64.11398516700137,64.05604614189943,6.312703208750574
followup_high_steps,10.0,110,3,67.92643129166875,68.23906170899863,0.7639811394277083,67.0557185409998,68.48451362500782,68.4599684334069,6.795231788895979
