benchmark_run,run_index,repetition,requested_source_seconds,actual_source_seconds,reference_seconds,diffusion_steps,submission_seconds,job_seconds,download_seconds,end_to_end_seconds,output_seconds,real_time_factor,output_bytes,peak_amplitude,rms_amplitude,success,error,started_at_utc
paper_baseline,47,2,30.0,30.0,8.0,10,0.02023633300268557,59.61195104199578,0.0103815000038594,59.642568875002326,29.98857142857143,1.9888432837510301,2645036,1.0,0.2676268313719355,true,,2026-09-08T10:06:09.187258+00:00
paper_baseline,48,2,10.0,10.0,8.0,10,0.018814708993886597,18.742469165998045,0.004683459002990276,18.765967333994922,9.996190476190476,1.8773118998375256,881708,1.0,0.25216587016470965,true,,2026-09-08T10:07:08.916153+00:00
paper_baseline,49,2,10.0,10.0,8.0,5,0.014355500010424294,13.389211166999303,0.003853665999486111,13.407420333009213,9.996190476190476,1.3412529868197098,881708,1.0,0.2608821611502989,true,,2026-09-08T10:07:27.732425+00:00
paper_baseline,50,2,20.0,20.0,8.0,25,0.016441625004517846,52.18377025000518,0.008596125000622123,52.20880800001032,19.99238095238095,2.6114352324700287,1763372,1.0,0.2189109616797606,true,,2026-09-08T10:07:41.181722+00:00
paper_baseline,51,2,5.0,5.0,8.0,1,0.010180083001614548,7.084656667007948,0.011667250000755303,7.106504000010318,4.992290249433107,1.4234957594497413,440364,1.0,0.49758527767243416,true,,2026-09-08T10:08:33.430827+00:00
paper_baseline,52,2,1.0,1.0,8.0,10,0.011275124998064712,6.638332250004169,0.005647625002893619,6.655255000005127,0.9984580498866213,6.665532919245687,88108,1.0,0.20447897364901538,true,,2026-09-08T10:08:40.596307+00:00
paper_baseline,53,2,1.0,1.0,8.0,25,0.013196125000831671,10.239729749999242,0.0038747499929741025,10.256800624993048,0.9984580498866213,10.272640524214058,88108,1.0,0.18172890101225822,true,,2026-09-08T10:08:47.302170+00:00
paper_baseline,54,2,30.0,30.0,8.0,5,0.01840112499485258,42.358484500000486,0.014221916004316881,42.391107540999656,29.98857142857143,1.4135754229563529,2645036,1.0,0.3056576635871414,true,,2026-09-08T10:08:57.606643+00:00
paper_baseline,55,2,20.0,20.0,8.0,5,0.028122124989749864,27.902136041011545,0.0052203340019332245,27.935478500003228,19.99238095238095,1.3973062321362133,1763372,1.0,0.2936066411228378,true,,2026-09-08T10:09:40.048611+00:00
paper_baseline,56,2,5.0,5.0,8.0,5,0.01286566600902006,8.939745541996672,0.005842250000569038,8.958453458006261,4.992290249433107,1.7944576557870462,440364,1.0,0.3186206555212885,true,,2026-09-08T10:10:08.027276+00:00
paper_baseline,57,2,20.0,20.0,8.0,10,0.014099124993663281,31.164069749996997,0.008612375007942319,31.186781249998603,19.99238095238095,1.559933322813383,1763372,1.0,0.2592462056142725,true,,2026-09-08T10:10:17.028614+00:00
paper_baseline,58,2,10.0,10.0,8.0,50,0.015773708990309387,45.35591062500316,0.006100041005993262,45.377784374999464,9.996190476190476,4.539507773794726,881708,1.0,0.19520566496793437,true,,2026-09-08T10:10:48.275061+00:00
paper_baseline,59,2,5.0,5.0,8.0,50,0.011998082991340198,28.558800708007766,0.006108166999183595,28.57690695799829,4.992290249433107,5.724207834519097,440364,1.0,0.17665014822829386,true,,2026-09-08T10:11:33.705073+00:00
paper_baseline,60,2,30.0,30.0,8.0,50,0.017469541999162175,129.62069487500412,0.036110291999648325,129.67427470900293,29.98857142857143,4.324123108627194,2645036,1.0,0.20773968856062947,true,,2026-09-08T10:12:02.335377+00:00
paper_baseline,61,3,10.0,10.0,8.0,25,0.02333491700119339,29.448255499999505,0.005012541005271487,29.47660295800597,9.996190476190476,2.948783641949911,881708,1.0,0.21192494751541152,true,,2026-09-08T10:14:12.082383+00:00
paper_baseline,62,3,30.0,30.0,8.0,5,0.03509516699705273,42.66131250000035,0.009389625003677793,42.70579729200108,29.98857142857143,1.424069078906286,2645036,1.0,0.28781308321160365,true,,2026-09-08T10:14:41.608264+00:00
paper_baseline,63,3,20.0,20.0,8.0,1,0.02033487500739284,24.95154312500381,0.006753790992661379,24.978631791003863,19.99238095238095,1.2494075543327963,1763372,1.0,0.4589983978388769,true,,2026-09-08T10:15:24.364517+00:00
paper_baseline,64,3,30.0,30.0,8.0,50,0.027487125000334345,125.11802995900507,0.023588540992932394,125.16910562499834,29.98857142857143,4.173893575528718,2645036,1.0,0.20574882015998333,true,,2026-09-08T10:15:49.383979+00:00
paper_baseline,65,3,1.0,1.0,8.0,1,0.02351779099262785,4.262567958998261,0.0052975830039940774,4.291383332994883,0.9984580498866213,4.298010651005503,88108,1.0,0.45705186534117415,true,,2026-09-08T10:17:54.612424+00:00
paper_baseline,66,3,20.0,20.0,8.0,50,0.015426875004777685,82.78053516699583,0.007372583000687882,82.8033346250013,19.99238095238095,4.141744538693377,1763372,1.0,0.20480808927723074,true,,2026-09-08T10:17:58.940964+00:00
